,Symbol,Name,Sector
0,MMM,3M Company,Industrials
1,AOS,A.O. Smith Corp,Industrials
2,ABT,Abbott Laboratories,Health Care
3,ABBV,AbbVie Inc.,Health Care
4,ACN,Accenture plc,Information Technology
6,AYI,Acuity Brands Inc,Industrials
7,ADBE,Adobe Systems Inc,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AMD,Advanced Micro Devices Inc,Information Technology
10,AES,AES Corp,Utilities
12,AMG,Affiliated Managers Group Inc,Financials
13,AFL,AFLAC Inc,Financials
14,A,Agilent Technologies Inc,Health Care
15,APD,Air Products & Chemicals Inc,Materials
16,AKAM,Akamai Technologies Inc,Information Technology
17,ALK,Alaska Air Group Inc,Industrials
18,ALB,Albemarle Corp,Materials
19,ARE,Alexandria Real Estate Equities Inc,Real Estate
21,ALGN,Align Technology,Health Care
22,ALLE,Allegion,Industrials
25,LNT,Alliant Energy Corp,Utilities
26,ALL,Allstate Corp,Financials
27,GOOGL,Alphabet Inc Class A,Information Technology
28,GOOG,Alphabet Inc Class C,Information Technology
29,MO,Altria Group Inc,Consumer Staples
30,AMZN,Amazon.com Inc,Consumer Discretionary
31,AEE,Ameren Corp,Utilities
32,AAL,American Airlines Group,Industrials
33,AEP,American Electric Power,Utilities
34,AXP,American Express Co,Financials
35,AIG,"American International Group, Inc.",Financials
36,AMT,American Tower Corp A,Real Estate
37,AWK,American Water Works Company Inc,Utilities
38,AMP,Ameriprise Financial,Financials
40,AME,AMETEK Inc,Industrials
41,AMGN,Amgen Inc,Health Care
42,APH,Amphenol Corp,Information Technology
44,ADI,"Analog Devices, Inc.",Information Technology
48,AON,Aon plc,Financials
49,APA,Apache Corporation,Energy
50,AIV,Apartment Investment & Management,Real Estate
51,AAPL,Apple Inc.,Information Technology
52,AMAT,Applied Materials Inc,Information Technology
53,APTV,Aptiv Plc,Consumer Discretionary
54,ADM,Archer-Daniels-Midland Co,Consumer Staples
56,AJG,Arthur J. Gallagher & Co.,Financials
57,AIZ,Assurant Inc,Financials
58,T,AT&T Inc,Telecommunication Services
59,ADSK,Autodesk Inc,Information Technology
60,ADP,Automatic Data Processing,Information Technology
61,AZO,AutoZone Inc,Consumer Discretionary
62,AVB,"AvalonBay Communities, Inc.",Real Estate
63,AVY,Avery Dennison Corp,Materials
66,BAC,Bank of America Corp,Financials
67,BAX,Baxter International Inc.,Health Care
68,BBT,BB&T Corporation,Financials
69,BDX,Becton Dickinson,Health Care
71,BBY,Best Buy Co. Inc.,Consumer Discretionary
72,BIIB,Biogen Inc.,Health Care
73,BLK,BlackRock,Financials
74,HRB,Block H&R,Financials
75,BA,Boeing Company,Industrials
76,BWA,BorgWarner,Consumer Discretionary
77,BXP,Boston Properties,Real Estate
78,BSX,Boston Scientific,Health Care
79,BHF,Brighthouse Financial Inc,Financials
80,BMY,Bristol-Myers Squibb,Health Care
81,AVGO,Broadcom,Information Technology
83,CHRW,C. H. Robinson Worldwide,Industrials
84,CA,"CA, Inc.",Information Technology
86,CDNS,Cadence Design Systems,Information Technology
87,CPB,Campbell Soup,Consumer Staples
88,COF,Capital One Financial,Financials
89,CAH,Cardinal Health Inc.,Health Care
90,KMX,Carmax Inc,Consumer Discretionary
91,CCL,Carnival Corp.,Consumer Discretionary
92,CAT,Caterpillar Inc.,Industrials
93,CBOE,CBOE Holdings,Financials
97,CNC,Centene Corporation,Health Care
98,CNP,CenterPoint Energy,Utilities
101,CF,CF Industries Holdings Inc,Materials
102,SCHW,Charles Schwab Corporation,Financials
103,CHTR,Charter Communications,Consumer Discretionary
105,CVX,Chevron Corp.,Energy
106,CMG,Chipotle Mexican Grill,Consumer Discretionary
107,CB,Chubb Limited,Financials
108,CHD,Church & Dwight,Consumer Staples
109,CI,CIGNA Corp.,Health Care
111,CINF,Cincinnati Financial,Financials
112,CTAS,Cintas Corporation,Industrials
113,CSCO,Cisco Systems,Information Technology
114,C,Citigroup Inc.,Financials
115,CFG,Citizens Financial Group,Financials
117,CME,CME Group Inc.,Financials
118,CMS,CMS Energy,Utilities
119,KO,Coca-Cola Company (The),Consumer Staples
120,CTSH,Cognizant Technology Solutions,Information Technology
121,CL,Colgate-Palmolive,Consumer Staples
122,CMCSA,Comcast Corp.,Consumer Discretionary
123,CMA,Comerica Inc.,Financials
124,CAG,Conagra Brands,Consumer Staples
126,COP,ConocoPhillips,Energy
127,ED,Consolidated Edison,Utilities
128,STZ,Constellation Brands,Consumer Staples
129,GLW,Corning Inc.,Information Technology
130,COST,Costco Wholesale Corp.,Consumer Staples
131,COTY,"Coty, Inc",Consumer Staples
132,CCI,Crown Castle International Corp.,Real Estate
134,CSX,CSX Corp.,Industrials
135,CMI,Cummins Inc.,Industrials
136,CVS,CVS Health,Consumer Staples
137,DHI,D. R. Horton,Consumer Discretionary
138,DHR,Danaher Corp.,Health Care
139,DRI,Darden Restaurants,Consumer Discretionary
140,DVA,DaVita Inc.,Health Care
141,DE,Deere & Co.,Industrials
142,DAL,Delta Air Lines Inc.,Industrials
143,XRAY,Dentsply Sirona,Health Care
144,DVN,Devon Energy Corp.,Energy
145,DLR,Digital Realty Trust Inc,Real Estate
150,DG,Dollar General,Consumer Discretionary
151,DLTR,Dollar Tree,Consumer Discretionary
152,D,Dominion Energy,Utilities
153,DOV,Dover Corp.,Industrials
156,DTE,DTE Energy Co.,Utilities
157,DUK,Duke Energy,Utilities
159,DXC,DXC Technology,Information Technology
161,EMN,Eastman Chemical,Materials
162,ETN,Eaton Corporation,Industrials
163,EBAY,eBay Inc.,Information Technology
164,ECL,Ecolab Inc.,Materials
165,EIX,Edison Int'l,Utilities
166,EW,Edwards Lifesciences,Health Care
167,EA,Electronic Arts,Information Technology
168,EMR,Emerson Electric Company,Industrials
169,ETR,Entergy Corp.,Utilities
171,EOG,EOG Resources,Energy
172,EQT,EQT Corporation,Energy
173,EFX,Equifax Inc.,Industrials
174,EQIX,Equinix,Real Estate
175,EQR,Equity Residential,Real Estate
176,ESS,"Essex Property Trust, Inc.",Real Estate
177,EL,Estee Lauder Cos.,Consumer Staples
179,ES,Eversource Energy,Utilities
180,EXC,Exelon Corp.,Utilities
181,EXPE,Expedia Inc.,Consumer Discretionary
182,EXPD,Expeditors International,Industrials
184,EXR,Extra Space Storage,Real Estate
185,XOM,Exxon Mobil Corp.,Energy
186,FFIV,F5 Networks,Information Technology
187,FB,"Facebook, Inc.",Information Technology
188,FAST,Fastenal Co,Industrials
189,FRT,Federal Realty Investment Trust,Real Estate
190,FDX,FedEx Corporation,Industrials
191,FIS,Fidelity National Information Services,Information Technology
192,FITB,Fifth Third Bancorp,Financials
193,FE,FirstEnergy Corp,Utilities
194,FISV,Fiserv Inc,Information Technology
196,FLS,Flowserve Corporation,Industrials
197,FLR,Fluor Corp.,Industrials
198,FMC,FMC Corporation,Materials
200,F,Ford Motor,Consumer Discretionary
201,FTV,Fortive Corp,Industrials
203,BEN,Franklin Resources,Financials
204,FCX,Freeport-McMoRan Inc.,Materials
206,GRMN,Garmin Ltd.,Consumer Discretionary
207,IT,Gartner Inc,Information Technology
208,GD,General Dynamics,Industrials
209,GE,General Electric,Industrials
211,GIS,General Mills,Consumer Staples
212,GM,General Motors,Consumer Discretionary
213,GPC,Genuine Parts,Consumer Discretionary
214,GILD,Gilead Sciences,Health Care
215,GPN,Global Payments Inc.,Information Technology
216,GS,Goldman Sachs Group,Financials
217,GT,Goodyear Tire & Rubber,Consumer Discretionary
218,GWW,Grainger (W.W.) Inc.,Industrials
219,HAL,Halliburton Co.,Energy
220,HBI,Hanesbrands Inc,Consumer Discretionary
221,HOG,Harley-Davidson,Consumer Discretionary
223,HIG,Hartford Financial Svc.Gp.,Financials
224,HAS,Hasbro Inc.,Consumer Discretionary
225,HCA,HCA Holdings,Health Care
227,HP,Helmerich & Payne,Energy
228,HSIC,Henry Schein,Health Care
230,HPE,Hewlett Packard Enterprise,Information Technology
231,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
232,HOLX,Hologic,Health Care
233,HD,Home Depot,Consumer Discretionary
234,HON,Honeywell Int'l Inc.,Industrials
235,HRL,Hormel Foods Corp.,Consumer Staples
236,HST,Host Hotels & Resorts,Real Estate
237,HPQ,HP Inc.,Information Technology
238,HUM,Humana Inc.,Health Care
239,HBAN,Huntington Bancshares,Financials
240,HII,Huntington Ingalls Industries,Industrials
241,IDXX,IDEXX Laboratories,Health Care
242,INFO,IHS Markit Ltd.,Industrials
243,ITW,Illinois Tool Works,Industrials
244,ILMN,Illumina Inc,Health Care
245,INCY,Incyte,Health Care
246,IR,Ingersoll-Rand PLC,Industrials
247,INTC,Intel Corp.,Information Technology
248,ICE,Intercontinental Exchange,Financials
249,IBM,International Business Machines,Information Technology
250,IP,International Paper,Materials
251,IPG,Interpublic Group,Consumer Discretionary
252,IFF,Intl Flavors & Fragrances,Materials
253,INTU,Intuit Inc.,Information Technology
254,ISRG,Intuitive Surgical Inc.,Health Care
255,IVZ,Invesco Ltd.,Financials
256,IQV,IQVIA Holdings Inc.,Health Care
257,IRM,Iron Mountain Incorporated,Real Estate
258,JBHT,J. B. Hunt Transport Services,Industrials
260,SJM,JM Smucker,Consumer Staples
261,JNJ,Johnson & Johnson,Health Care
262,JCI,Johnson Controls International,Industrials
263,JPM,JPMorgan Chase & Co.,Financials
266,K,Kellogg Co.,Consumer Staples
267,KEY,KeyCorp,Financials
268,KMB,Kimberly-Clark,Consumer Staples
269,KIM,Kimco Realty,Real Estate
270,KMI,Kinder Morgan,Energy
271,KLAC,KLA-Tencor Corp.,Information Technology
272,KSS,Kohl's Corp.,Consumer Discretionary
273,KHC,Kraft Heinz Co,Consumer Staples
274,KR,Kroger Co.,Consumer Staples
275,LB,L Brands Inc.,Consumer Discretionary
277,LH,Laboratory Corp. of America Holding,Health Care
278,LRCX,Lam Research,Information Technology
279,LEG,Leggett & Platt,Consumer Discretionary
280,LEN,Lennar Corp.,Consumer Discretionary
282,LLY,Lilly (Eli) & Co.,Health Care
283,LNC,Lincoln National,Financials
284,LKQ,LKQ Corporation,Consumer Discretionary
285,LMT,Lockheed Martin Corp.,Industrials
286,L,Loews Corp.,Financials
287,LOW,Lowe's Cos.,Consumer Discretionary
288,LYB,LyondellBasell,Materials
289,MTB,M&T Bank Corp.,Financials
290,MAC,Macerich,Real Estate
291,M,Macy's Inc.,Consumer Discretionary
293,MPC,Marathon Petroleum,Energy
294,MAR,Marriott Int'l.,Consumer Discretionary
295,MMC,Marsh & McLennan,Financials
296,MLM,Martin Marietta Materials,Materials
297,MAS,Masco Corp.,Industrials
298,MA,Mastercard Inc.,Information Technology
299,MAT,Mattel Inc.,Consumer Discretionary
300,MKC,McCormick & Co.,Consumer Staples
301,MCD,McDonald's Corp.,Consumer Discretionary
302,MCK,McKesson Corp.,Health Care
303,MDT,Medtronic plc,Health Care
304,MRK,Merck & Co.,Health Care
305,MET,MetLife Inc.,Financials
306,MTD,Mettler Toledo,Health Care
307,MGM,MGM Resorts International,Consumer Discretionary
309,MCHP,Microchip Technology,Information Technology
310,MU,Micron Technology,Information Technology
311,MSFT,Microsoft Corp.,Information Technology
312,MAA,Mid-America Apartments,Real Estate
313,MHK,Mohawk Industries,Consumer Discretionary
314,TAP,Molson Coors Brewing Company,Consumer Staples
315,MDLZ,Mondelez International,Consumer Staples
317,MNST,Monster Beverage,Consumer Staples
318,MCO,Moody's Corp,Financials
319,MS,Morgan Stanley,Financials
320,MSI,Motorola Solutions Inc.,Information Technology
322,NDAQ,"Nasdaq, Inc.",Financials
323,NOV,National Oilwell Varco Inc.,Energy
324,NAVI,Navient,Financials
325,NTAP,NetApp,Information Technology
326,NFLX,Netflix Inc.,Information Technology
327,NWL,Newell Brands,Consumer Discretionary
329,NEM,Newmont Mining Corporation,Materials
330,NWSA,News Corp. Class A,Consumer Discretionary
331,NWS,News Corp. Class B,Consumer Discretionary
332,NEE,NextEra Energy,Utilities
334,NKE,Nike,Consumer Discretionary
