Sector,Stock1,Stock2,P-Value
Financials,BLK,SYF,6.472505332200807e-06
Real Estate,KIM,PSA,8.84870366370284e-06
Consumer Discretionary,NCLH,SBUX,2.7502830816964747e-05
Consumer Discretionary,NCLH,DIS,3.5339028303109715e-05
Consumer Discretionary,NCLH,TPR,0.00010914939874183584
Industrials,DAL,PNR,0.00011257623397934813
Real Estate,FRT,PSA,0.00011497825249780781
Industrials,DAL,FLS,0.00013851780125211118
Consumer Staples,KO,KR,0.00014545066008126386
Consumer Discretionary,NCLH,ROST,0.0001647799724288265
Consumer Discretionary,NCLH,TGT,0.00017303519133133607
Consumer Discretionary,NCLH,RL,0.0001736810838334451
Energy,NOV,OXY,0.00019311413814102795
Consumer Discretionary,NCLH,FOXA,0.0001947833692638335
Industrials,ETN,TDG,0.00019702568529331402
Consumer Discretionary,NCLH,FOX,0.0002164684966798829
Financials,MET,RJF,0.0002230711665286532
Consumer Discretionary,NCLH,TJX,0.00022498046347208572
Health Care,BDX,CNC,0.0002353195036501783
Industrials,FLR,PWR,0.00023824474500956148
Consumer Discretionary,NCLH,SNA,0.00024223369891705323
Industrials,FLS,GE,0.0002465928247810855
Energy,HP,NOV,0.0002489339716070597
Consumer Discretionary,NCLH,PHM,0.0002541007993994519
Consumer Discretionary,NCLH,SIG,0.00026222790651363854
Consumer Discretionary,NCLH,YUM,0.00027367083142663956
Consumer Discretionary,IPG,MGM,0.0002785946142056816
Energy,APA,DVN,0.00032608298855302297
Consumer Discretionary,NCLH,ULTA,0.00036870450673681226
Consumer Discretionary,MGM,SIG,0.000375296419583548
Financials,AXP,WFC,0.00037914471197550735
Consumer Discretionary,DRI,YUM,0.00038616248876374915
Consumer Discretionary,NCLH,SWK,0.0003885497673291479
Consumer Discretionary,TSCO,YUM,0.0004041451936262037
Health Care,HSIC,MTD,0.00040854290250488004
Industrials,DAL,GE,0.00041526332760127323
Energy,OKE,RRC,0.00042187416746494467
Consumer Discretionary,NCLH,OMC,0.00043692556894898624
Consumer Discretionary,NCLH,ORLY,0.00044114866424300103
Industrials,DAL,PH,0.0004584534807920654
Consumer Discretionary,NCLH,RCL,0.0004630094799653708
Financials,BHF,RJF,0.00048060263692417676
Consumer Discretionary,NCLH,WHR,0.000496966816360462
Consumer Discretionary,NCLH,TSCO,0.00049821502658896
Financials,AIG,CB,0.0005149691054153223
Energy,EQT,OKE,0.0005156691439634632
Information Technology,ADI,KLAC,0.0005239569545581005
Financials,NDAQ,STT,0.0005373143266527877
Energy,RRC,VLO,0.0005425391124292151
Financials,NDAQ,WFC,0.000553508479356806
Utilities,DUK,PPL,0.0005552526926751217
Consumer Discretionary,DRI,SNA,0.0005576847272124716
Consumer Staples,MO,PM,0.0006006258461991268
Consumer Discretionary,NCLH,PVH,0.0006350010161334492
Industrials,DAL,FAST,0.0006465667293404819
Energy,RRC,SLB,0.000666891512364553
Information Technology,AAPL,HPE,0.0007162556032224596
Industrials,FAST,TDG,0.000717690644192266
Consumer Discretionary,MCD,SNA,0.0007197808311446311
Health Care,BAX,CAH,0.0007444788204691897
Financials,BLK,COF,0.0007819732363443283
Financials,MS,WFC,0.0008048194157998457
Consumer Discretionary,NCLH,VFC,0.0008166696564226292
Industrials,BA,ROK,0.0008313401047983101
Financials,GS,WFC,0.000863938325311327
Information Technology,MA,NVDA,0.0008681527782716361
Information Technology,ADI,HPE,0.0008987861738678273
Information Technology,EA,WDC,0.0009129442891741223
Financials,BHF,SCHW,0.0009812715064907746
Energy,EQT,KMI,0.001018962947765911
Consumer Staples,MO,KR,0.0010737522675630772
Industrials,BA,EXPD,0.0011005862268303494
Industrials,AAL,LMT,0.0011012511982939736
Consumer Discretionary,NCLH,TRIP,0.001170227126341618
Consumer Discretionary,SNA,YUM,0.001172342756432564
Industrials,DAL,JCI,0.0011767821471353344
Health Care,JNJ,PRGO,0.00120219186278601
Industrials,DAL,EMR,0.001237991039429697
Financials,HBAN,NDAQ,0.0012518707970401138
Health Care,AMGN,PRGO,0.00130358700973188
Information Technology,INTU,NTAP,0.0013197489232574509
Information Technology,AVGO,MA,0.0014093478483987907
Energy,NOV,SLB,0.001420465578836808
Real Estate,EXR,FRT,0.00142799427789344
Industrials,BA,XYL,0.0014436030052606575
Consumer Discretionary,MAR,SNA,0.0014724737624518104
Industrials,AAL,UPS,0.0015169680021935301
Industrials,AME,ITW,0.0015314465528961775
Consumer Discretionary,CCL,EXPE,0.001574696194362344
Financials,BHF,MS,0.0015947688835603621
Financials,BHF,PFG,0.0016766611058298881
Industrials,BA,LMT,0.0017231319473899373
Information Technology,MA,V,0.0017347190694560275
Industrials,DAL,ETN,0.0017555346365343675
Health Care,DHR,IQV,0.001815076758889732
Industrials,BA,CSX,0.0018687477459264263
Health Care,BDX,HUM,0.001887931412622745
Industrials,DAL,URI,0.0018948715972837355
Industrials,BA,NSC,0.0019064395723400042
Information Technology,GLW,EA,0.0019528636285612033
Industrials,CSX,TXT,0.001964434833931053
Industrials,BA,ITW,0.00196733425270484
Financials,STT,SYF,0.001980922503240238
Financials,AIG,RJF,0.0020031718773747377
Industrials,BA,FTV,0.0020097537894720754
Industrials,BA,FDX,0.0020385853500385982
Financials,BHF,RF,0.002066098776191871
Industrials,CMI,DAL,0.00208942373031585
Industrials,BA,EFX,0.00213643942134816
Utilities,NI,PPL,0.002165404049715924
Consumer Discretionary,NCLH,UAA,0.002166689467220199
Information Technology,HPE,KLAC,0.0021792111685930765
Financials,ALL,AXP,0.0021842161607802182
Information Technology,EA,STX,0.0022193055381237625
Information Technology,AMAT,HPE,0.0022805516194407353
Consumer Discretionary,CCL,GRMN,0.0022808555030214917
Financials,CINF,WFC,0.0023059148378335075
Industrials,DAL,XYL,0.00231427066859956
Industrials,AAL,LUV,0.0023384936857175197
Industrials,FLS,PH,0.0023855571703010493
Industrials,FLR,GWW,0.0024308840198334855
Information Technology,EA,MU,0.002520235697560714
Financials,AXP,HIG,0.002523884777686566
Industrials,BA,JCI,0.0025571350880925353
Utilities,ES,PCG,0.002574169243554999
Utilities,CMS,PPL,0.0026159289585237825
Health Care,HSIC,TMO,0.0026176432861567405
Consumer Discretionary,NCLH,UA,0.00266433149423448
Real Estate,AIV,KIM,0.0026892677154947303
Industrials,CTAS,TDG,0.0027177676784113595
Industrials,CAT,PH,0.0027417255051275465
Industrials,BA,PNR,0.0027618391006229417
Industrials,BA,DE,0.00280616053594075
Industrials,CAT,FLS,0.0028844311701722654
Industrials,AAL,TDG,0.003010100137082475
Utilities,LNT,PPL,0.0030153423628481446
Health Care,HOLX,TMO,0.003056086462176399
Real Estate,EXR,KIM,0.003062219654290422
Industrials,BA,HON,0.003130922322275039
Industrials,DAL,PWR,0.003208414307430628
Real Estate,EQIX,MAC,0.0032392778373868383
Industrials,DAL,DOV,0.0032646954206274597
Industrials,BA,URI,0.003267537011553489
Information Technology,GPN,WU,0.0032744276071630662
Real Estate,MAC,SPG,0.0032790391480647216
Industrials,BA,CAT,0.003298264353167586
Financials,BHF,CINF,0.0033003033065096697
Industrials,BA,GE,0.0033355432239738094
Industrials,BA,PH,0.003348546356643318
Industrials,BA,CMI,0.0033504699604235016
Industrials,BA,JBHT,0.0033540083516339567
Financials,COF,CINF,0.003354594301893054
Industrials,BA,UPS,0.0033594406260041222
